"FIN","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"13.02.2018 16:00 - 13.02.2018 17:00","12091","11987"
"13.02.2018 17:00 - 13.02.2018 18:00","12157","12078"
"13.02.2018 18:00 - 13.02.2018 19:00","12142","12095"
"13.02.2018 19:00 - 13.02.2018 20:00","11937","11840"
"13.02.2018 20:00 - 13.02.2018 21:00","11433","11234"
"13.02.2018 21:00 - 13.02.2018 22:00","11446","11376"
"13.02.2018 22:00 - 13.02.2018 23:00","11237","11082"
"13.02.2018 23:00 - 14.02.2018 00:00","10699","10553"
"14.02.2018 00:00 - 14.02.2018 01:00","10397","10167"
"14.02.2018 01:00 - 14.02.2018 02:00","10197","10056"
"14.02.2018 02:00 - 14.02.2018 03:00","10154","9969"
"14.02.2018 03:00 - 14.02.2018 04:00","10255","9966"
"14.02.2018 04:00 - 14.02.2018 05:00","10642","10333"
"14.02.2018 05:00 - 14.02.2018 06:00","11471","11235"
"14.02.2018 06:00 - 14.02.2018 07:00","11860","11595"
"14.02.2018 07:00 - 14.02.2018 08:00","11902","11513"
"14.02.2018 08:00 - 14.02.2018 09:00","11872","11534"
"14.02.2018 09:00 - 14.02.2018 10:00","11818","11464"
"14.02.2018 10:00 - 14.02.2018 11:00","11777","11418"
"14.02.2018 11:00 - 14.02.2018 12:00","11758","11375"
"14.02.2018 12:00 - 14.02.2018 13:00","11663","11322"
"14.02.2018 13:00 - 14.02.2018 14:00","11656","11276"
"14.02.2018 14:00 - 14.02.2018 15:00","11636","11258"
"14.02.2018 15:00 - 14.02.2018 16:00","11655","11248"
"14.02.2018 16:00 - 14.02.2018 17:00","11962","11644"
"14.02.2018 17:00 - 14.02.2018 18:00","12058","11871"
"14.02.2018 18:00 - 14.02.2018 19:00","12056","11942"
"14.02.2018 19:00 - 14.02.2018 20:00","11871","11698"
"14.02.2018 20:00 - 14.02.2018 21:00","11398","11179"
"14.02.2018 21:00 - 14.02.2018 22:00","11420","11201"
"14.02.2018 22:00 - 14.02.2018 23:00","11219","11021"
"14.02.2018 23:00 - 15.02.2018 00:00","10572","10526"
"15.02.2018 00:00 - 15.02.2018 01:00","10251","10169"
"15.02.2018 01:00 - 15.02.2018 02:00","10060","10049"
"15.02.2018 02:00 - 15.02.2018 03:00","9992","9990"
"15.02.2018 03:00 - 15.02.2018 04:00","10074","10115"
"15.02.2018 04:00 - 15.02.2018 05:00","10467","10541"
"15.02.2018 05:00 - 15.02.2018 06:00","11330","11398"
"15.02.2018 06:00 - 15.02.2018 07:00","11712","11921"
"15.02.2018 07:00 - 15.02.2018 08:00","11745","11908"
"15.02.2018 08:00 - 15.02.2018 09:00","11749","11928"
"15.02.2018 09:00 - 15.02.2018 10:00","11752","11881"
"15.02.2018 10:00 - 15.02.2018 11:00","11755","11850"
"15.02.2018 11:00 - 15.02.2018 12:00","11766","11769"
"15.02.2018 12:00 - 15.02.2018 13:00","11709","11629"
"15.02.2018 13:00 - 15.02.2018 14:00","11688","11652"
"15.02.2018 14:00 - 15.02.2018 15:00","11671","11656"
"15.02.2018 15:00 - 15.02.2018 16:00","11671","11672"
"15.02.2018 16:00 - 15.02.2018 17:00","12002","11995"
"15.02.2018 17:00 - 15.02.2018 18:00","12139","12215"
"15.02.2018 18:00 - 15.02.2018 19:00","12165","12264"
"15.02.2018 19:00 - 15.02.2018 20:00","11995","12048"
"15.02.2018 20:00 - 15.02.2018 21:00","11529","11512"
"15.02.2018 21:00 - 15.02.2018 22:00","11603","11611"
"15.02.2018 22:00 - 15.02.2018 23:00","11390","11372"
"15.02.2018 23:00 - 16.02.2018 00:00","10889","10894"
"16.02.2018 00:00 - 16.02.2018 01:00","10590","10534"
"16.02.2018 01:00 - 16.02.2018 02:00","10455","10389"
"16.02.2018 02:00 - 16.02.2018 03:00","10434","10405"
"16.02.2018 03:00 - 16.02.2018 04:00","10513","10544"
"16.02.2018 04:00 - 16.02.2018 05:00","10902","11011"
"16.02.2018 05:00 - 16.02.2018 06:00","11780","11934"
"16.02.2018 06:00 - 16.02.2018 07:00","12214","12341"
"16.02.2018 07:00 - 16.02.2018 08:00","12282","12387"
"16.02.2018 08:00 - 16.02.2018 09:00","12405","12491"
"16.02.2018 09:00 - 16.02.2018 10:00","12383","12461"
"16.02.2018 10:00 - 16.02.2018 11:00","12371","12429"
"16.02.2018 11:00 - 16.02.2018 12:00","12320","12342"
"16.02.2018 12:00 - 16.02.2018 13:00","12209","12211"
"16.02.2018 13:00 - 16.02.2018 14:00","12120","12123"
"16.02.2018 14:00 - 16.02.2018 15:00","12114","12130"
"16.02.2018 15:00 - 16.02.2018 16:00","12099","12117"
"16.02.2018 16:00 - 16.02.2018 17:00","12353","12373"
"16.02.2018 17:00 - 16.02.2018 18:00","12520","12603"
"16.02.2018 18:00 - 16.02.2018 19:00","12491","12595"
"16.02.2018 19:00 - 16.02.2018 20:00","12292","12348"
"16.02.2018 20:00 - 16.02.2018 21:00","11817","11844"
"16.02.2018 21:00 - 16.02.2018 22:00","11872","11930"
"16.02.2018 22:00 - 16.02.2018 23:00","11655","11745"
"16.02.2018 23:00 - 17.02.2018 00:00","11242","11251"
"17.02.2018 00:00 - 17.02.2018 01:00","10914","10924"
"17.02.2018 01:00 - 17.02.2018 02:00","10740","10774"
"17.02.2018 02:00 - 17.02.2018 03:00","10653","10696"
"17.02.2018 03:00 - 17.02.2018 04:00","10651","10695"
"17.02.2018 04:00 - 17.02.2018 05:00","10776","10830"
"17.02.2018 05:00 - 17.02.2018 06:00","11063","11132"
"17.02.2018 06:00 - 17.02.2018 07:00","11118","11209"
"17.02.2018 07:00 - 17.02.2018 08:00","11241","11340"
"17.02.2018 08:00 - 17.02.2018 09:00","11429","11520"
"17.02.2018 09:00 - 17.02.2018 10:00","11501","11653"
"17.02.2018 10:00 - 17.02.2018 11:00","11510","11621"
"17.02.2018 11:00 - 17.02.2018 12:00","11417","11478"
"17.02.2018 12:00 - 17.02.2018 13:00","11344","11396"
"17.02.2018 13:00 - 17.02.2018 14:00","11292","11299"
"17.02.2018 14:00 - 17.02.2018 15:00","11403","11324"
"17.02.2018 15:00 - 17.02.2018 16:00","11607","11515"
"17.02.2018 16:00 - 17.02.2018 17:00","12160","12037"
"17.02.2018 17:00 - 17.02.2018 18:00","12509","12565"
"17.02.2018 18:00 - 17.02.2018 19:00","12453","12520"
"17.02.2018 19:00 - 17.02.2018 20:00","12077","12089"
"17.02.2018 20:00 - 17.02.2018 21:00","11728","11675"
"17.02.2018 21:00 - 17.02.2018 22:00","11876","11904"
"17.02.2018 22:00 - 17.02.2018 23:00","11742","11765"
"17.02.2018 23:00 - 18.02.2018 00:00","11576","11329"
"18.02.2018 00:00 - 18.02.2018 01:00","11321","11025"
"18.02.2018 01:00 - 18.02.2018 02:00","11128","10823"
"18.02.2018 02:00 - 18.02.2018 03:00","11049","10711"
"18.02.2018 03:00 - 18.02.2018 04:00","11042","10744"
"18.02.2018 04:00 - 18.02.2018 05:00","11104","10869"
"18.02.2018 05:00 - 18.02.2018 06:00","11265","11057"
"18.02.2018 06:00 - 18.02.2018 07:00","11241","11012"
"18.02.2018 07:00 - 18.02.2018 08:00","11296","11160"
"18.02.2018 08:00 - 18.02.2018 09:00","11487","11390"
"18.02.2018 09:00 - 18.02.2018 10:00","11644","11598"
"18.02.2018 10:00 - 18.02.2018 11:00","11621","11581"
"18.02.2018 11:00 - 18.02.2018 12:00","11558","11445"
"18.02.2018 12:00 - 18.02.2018 13:00","11441","11349"
"18.02.2018 13:00 - 18.02.2018 14:00","11352","11243"
"18.02.2018 14:00 - 18.02.2018 15:00","11343","11256"
"18.02.2018 15:00 - 18.02.2018 16:00","11461","11392"
"18.02.2018 16:00 - 18.02.2018 17:00","11916","11857"
"18.02.2018 17:00 - 18.02.2018 18:00","12290","12335"
"18.02.2018 18:00 - 18.02.2018 19:00","12351","12427"
"18.02.2018 19:00 - 18.02.2018 20:00","12172","12270"
"18.02.2018 20:00 - 18.02.2018 21:00","11838","11906"
"18.02.2018 21:00 - 18.02.2018 22:00","12052","12204"
"18.02.2018 22:00 - 18.02.2018 23:00","11962","12168"
"18.02.2018 23:00 - 19.02.2018 00:00","11788","11803"
"19.02.2018 00:00 - 19.02.2018 01:00","11567","11638"
"19.02.2018 01:00 - 19.02.2018 02:00","11442","11513"
"19.02.2018 02:00 - 19.02.2018 03:00","11396","11507"
"19.02.2018 03:00 - 19.02.2018 04:00","11544","11665"
"19.02.2018 04:00 - 19.02.2018 05:00","11964","12104"
"19.02.2018 05:00 - 19.02.2018 06:00","12906","13016"
"19.02.2018 06:00 - 19.02.2018 07:00","13387","13239"
"19.02.2018 07:00 - 19.02.2018 08:00","13497","13298"
"19.02.2018 08:00 - 19.02.2018 09:00","13423","13323"
"19.02.2018 09:00 - 19.02.2018 10:00","13265","13050"
"19.02.2018 10:00 - 19.02.2018 11:00","13057","13004"
"19.02.2018 11:00 - 19.02.2018 12:00","12912","12838"
"19.02.2018 12:00 - 19.02.2018 13:00","12742","12682"
"19.02.2018 13:00 - 19.02.2018 14:00","12685","12609"
"19.02.2018 14:00 - 19.02.2018 15:00","12608","12507"
"19.02.2018 15:00 - 19.02.2018 16:00","12600","12380"
"19.02.2018 16:00 - 19.02.2018 17:00","12910","12618"
"19.02.2018 17:00 - 19.02.2018 18:00","13130","12993"
"19.02.2018 18:00 - 19.02.2018 19:00","13253","13002"
"19.02.2018 19:00 - 19.02.2018 20:00","13155","12960"
"19.02.2018 20:00 - 19.02.2018 21:00","12686","12634"
"19.02.2018 21:00 - 19.02.2018 22:00","12753","12774"
"19.02.2018 22:00 - 19.02.2018 23:00","12516","12638"
"19.02.2018 23:00 - 20.02.2018 00:00","12348","12234"
"20.02.2018 00:00 - 20.02.2018 01:00","12052","12033"
"20.02.2018 01:00 - 20.02.2018 02:00","11888","11926"
"20.02.2018 02:00 - 20.02.2018 03:00","11847","11950"
"20.02.2018 03:00 - 20.02.2018 04:00","11975","12050"
"20.02.2018 04:00 - 20.02.2018 05:00","12407","12443"
"20.02.2018 05:00 - 20.02.2018 06:00","13315","13247"
"20.02.2018 06:00 - 20.02.2018 07:00","13698","13481"
"20.02.2018 07:00 - 20.02.2018 08:00","13729","13593"
"20.02.2018 08:00 - 20.02.2018 09:00","13740","13614"
"20.02.2018 09:00 - 20.02.2018 10:00","13677","13452"
"20.02.2018 10:00 - 20.02.2018 11:00","13524","13262"
"20.02.2018 11:00 - 20.02.2018 12:00","13403","13011"
"20.02.2018 12:00 - 20.02.2018 13:00","13194","12755"
"20.02.2018 13:00 - 20.02.2018 14:00","13074","12687"
"20.02.2018 14:00 - 20.02.2018 15:00","13010","12628"
"20.02.2018 15:00 - 20.02.2018 16:00","12959","12612"
"20.02.2018 16:00 - 20.02.2018 17:00","13273","12821"
"20.02.2018 17:00 - 20.02.2018 18:00","13545","13273"
"20.02.2018 18:00 - 20.02.2018 19:00","13661","13411"
"20.02.2018 19:00 - 20.02.2018 20:00","13527","13302"
"20.02.2018 20:00 - 20.02.2018 21:00","13052","12833"
"20.02.2018 21:00 - 20.02.2018 22:00","13063","12949"
"20.02.2018 22:00 - 20.02.2018 23:00","12811","12839"
"20.02.2018 23:00 - 21.02.2018 00:00","12478","12418"
"21.02.2018 00:00 - 21.02.2018 01:00","12185","12155"
"21.02.2018 01:00 - 21.02.2018 02:00","12014","11982"
"21.02.2018 02:00 - 21.02.2018 03:00","11955","12016"
"21.02.2018 03:00 - 21.02.2018 04:00","12083","12174"
"21.02.2018 04:00 - 21.02.2018 05:00","12506","12600"
"21.02.2018 05:00 - 21.02.2018 06:00","13402","13489"
"21.02.2018 06:00 - 21.02.2018 07:00","13774","13667"
"21.02.2018 07:00 - 21.02.2018 08:00","13855","13726"
"21.02.2018 08:00 - 21.02.2018 09:00","13864","13768"
"21.02.2018 09:00 - 21.02.2018 10:00","13826","13591"
"21.02.2018 10:00 - 21.02.2018 11:00","13688","13324"
"21.02.2018 11:00 - 21.02.2018 12:00","13569","13153"
"21.02.2018 12:00 - 21.02.2018 13:00","13330","12951"
"21.02.2018 13:00 - 21.02.2018 14:00","13204","12783"
"21.02.2018 14:00 - 21.02.2018 15:00","13119","12688"
"21.02.2018 15:00 - 21.02.2018 16:00","13091","12663"
"21.02.2018 16:00 - 21.02.2018 17:00","13360","12968"
"21.02.2018 17:00 - 21.02.2018 18:00","13636","13508"
"21.02.2018 18:00 - 21.02.2018 19:00","13742","13628"
"21.02.2018 19:00 - 21.02.2018 20:00","13605","13439"
"21.02.2018 20:00 - 21.02.2018 21:00","13153","12904"
"21.02.2018 21:00 - 21.02.2018 22:00","13157","13042"
"21.02.2018 22:00 - 21.02.2018 23:00","13000","12889"
"21.02.2018 23:00 - 22.02.2018 00:00","12655","12506"
"22.02.2018 00:00 - 22.02.2018 01:00","12395","12258"
"22.02.2018 01:00 - 22.02.2018 02:00","12228","12210"
"22.02.2018 02:00 - 22.02.2018 03:00","12228","12179"
"22.02.2018 03:00 - 22.02.2018 04:00","12318","12386"
"22.02.2018 04:00 - 22.02.2018 05:00","12691","12796"
"22.02.2018 05:00 - 22.02.2018 06:00","13503","13648"
"22.02.2018 06:00 - 22.02.2018 07:00","13823","13786"
"22.02.2018 07:00 - 22.02.2018 08:00","13847","13785"
"22.02.2018 08:00 - 22.02.2018 09:00","13805","13782"
"22.02.2018 09:00 - 22.02.2018 10:00","13649","13665"
"22.02.2018 10:00 - 22.02.2018 11:00","13479","13395"
"22.02.2018 11:00 - 22.02.2018 12:00","13346","13218"
"22.02.2018 12:00 - 22.02.2018 13:00","13171","13021"
"22.02.2018 13:00 - 22.02.2018 14:00","13085","12875"
"22.02.2018 14:00 - 22.02.2018 15:00","13031","12753"
"22.02.2018 15:00 - 22.02.2018 16:00","13000","12679"
"22.02.2018 16:00 - 22.02.2018 17:00","13202","12882"
"22.02.2018 17:00 - 22.02.2018 18:00","13437","13423"
"22.02.2018 18:00 - 22.02.2018 19:00","13497","13595"
"22.02.2018 19:00 - 22.02.2018 20:00","13354","13401"
"22.02.2018 20:00 - 22.02.2018 21:00","12892","12972"
"22.02.2018 21:00 - 22.02.2018 22:00","12852","13135"
"22.02.2018 22:00 - 22.02.2018 23:00","12608","12900"
"22.02.2018 23:00 - 23.02.2018 00:00","12657","12534"
"23.02.2018 00:00 - 23.02.2018 01:00","12407","12297"
"23.02.2018 01:00 - 23.02.2018 02:00","12279","12152"
"23.02.2018 02:00 - 23.02.2018 03:00","12257","12118"
"23.02.2018 03:00 - 23.02.2018 04:00","12340","12275"
"23.02.2018 04:00 - 23.02.2018 05:00","12696","12703"
"23.02.2018 05:00 - 23.02.2018 06:00","13474","13522"
"23.02.2018 06:00 - 23.02.2018 07:00","13805","13688"
"23.02.2018 07:00 - 23.02.2018 08:00","13834","13713"
"23.02.2018 08:00 - 23.02.2018 09:00","13776","13668"
"23.02.2018 09:00 - 23.02.2018 10:00","13683","13528"
"23.02.2018 10:00 - 23.02.2018 11:00","13517","13383"
"23.02.2018 11:00 - 23.02.2018 12:00","13391","13246"
"23.02.2018 12:00 - 23.02.2018 13:00","13292","12997"
"23.02.2018 13:00 - 23.02.2018 14:00","13220","12859"
"23.02.2018 14:00 - 23.02.2018 15:00","13197","12771"
"23.02.2018 15:00 - 23.02.2018 16:00","13197","12642"
"23.02.2018 16:00 - 23.02.2018 17:00","13386","12871"
"23.02.2018 17:00 - 23.02.2018 18:00","13623","13390"
"23.02.2018 18:00 - 23.02.2018 19:00","13641","13484"
"23.02.2018 19:00 - 23.02.2018 20:00","13520","13221"
"23.02.2018 20:00 - 23.02.2018 21:00","13160","12807"
"23.02.2018 21:00 - 23.02.2018 22:00","13213","12955"
"23.02.2018 22:00 - 23.02.2018 23:00","13037","12882"
"23.02.2018 23:00 - 24.02.2018 00:00","12549","12538"
"24.02.2018 00:00 - 24.02.2018 01:00","12276","12332"
"24.02.2018 01:00 - 24.02.2018 02:00","12143","12214"
"24.02.2018 02:00 - 24.02.2018 03:00","12092","12174"
"24.02.2018 03:00 - 24.02.2018 04:00","12120","12220"
"24.02.2018 04:00 - 24.02.2018 05:00","12256","12369"
"24.02.2018 05:00 - 24.02.2018 06:00","12517","12759"
"24.02.2018 06:00 - 24.02.2018 07:00","12529","12656"
"24.02.2018 07:00 - 24.02.2018 08:00","12673","12864"
"24.02.2018 08:00 - 24.02.2018 09:00","12752","13053"
"24.02.2018 09:00 - 24.02.2018 10:00","12738","13158"
"24.02.2018 10:00 - 24.02.2018 11:00","12663","12946"
"24.02.2018 11:00 - 24.02.2018 12:00","12473","12641"
"24.02.2018 12:00 - 24.02.2018 13:00","12375","12439"
"24.02.2018 13:00 - 24.02.2018 14:00","12383","12261"
"24.02.2018 14:00 - 24.02.2018 15:00","12458","12307"
"24.02.2018 15:00 - 24.02.2018 16:00","12626","12500"
"24.02.2018 16:00 - 24.02.2018 17:00","13064","12799"
"24.02.2018 17:00 - 24.02.2018 18:00","13553","13432"
"24.02.2018 18:00 - 24.02.2018 19:00","13571","13459"
"24.02.2018 19:00 - 24.02.2018 20:00","13274","13045"
"24.02.2018 20:00 - 24.02.2018 21:00","12948","12563"
"24.02.2018 21:00 - 24.02.2018 22:00","13067","12690"
"24.02.2018 22:00 - 24.02.2018 23:00","12956","12600"
"24.02.2018 23:00 - 25.02.2018 00:00","12710","12209"
"25.02.2018 00:00 - 25.02.2018 01:00","12483","11895"
"25.02.2018 01:00 - 25.02.2018 02:00","12338","11755"
"25.02.2018 02:00 - 25.02.2018 03:00","12267","11679"
"25.02.2018 03:00 - 25.02.2018 04:00","12274","11603"
"25.02.2018 04:00 - 25.02.2018 05:00","12329","11634"
"25.02.2018 05:00 - 25.02.2018 06:00","12450","11810"
"25.02.2018 06:00 - 25.02.2018 07:00","12379","11602"
"25.02.2018 07:00 - 25.02.2018 08:00","12457","11752"
"25.02.2018 08:00 - 25.02.2018 09:00","12584","11887"
"25.02.2018 09:00 - 25.02.2018 10:00","12637","12092"
"25.02.2018 10:00 - 25.02.2018 11:00","12613","12164"
"25.02.2018 11:00 - 25.02.2018 12:00","12545","11992"
"25.02.2018 12:00 - 25.02.2018 13:00","12429","11885"
"25.02.2018 13:00 - 25.02.2018 14:00","12322","11771"
"25.02.2018 14:00 - 25.02.2018 15:00","12285","11680"
"25.02.2018 15:00 - 25.02.2018 16:00","12337","11633"
"25.02.2018 16:00 - 25.02.2018 17:00","12621","11837"
"25.02.2018 17:00 - 25.02.2018 18:00","12985","12366"
"25.02.2018 18:00 - 25.02.2018 19:00","13097","12469"
"25.02.2018 19:00 - 25.02.2018 20:00","12964","12262"
"25.02.2018 20:00 - 25.02.2018 21:00","12670","11816"
"25.02.2018 21:00 - 25.02.2018 22:00","12815","12063"
"25.02.2018 22:00 - 25.02.2018 23:00","12722","11968"
"25.02.2018 23:00 - 26.02.2018 00:00","11891","11623"
"26.02.2018 00:00 - 26.02.2018 01:00","11735","11363"
"26.02.2018 01:00 - 26.02.2018 02:00","11624","11232"
"26.02.2018 02:00 - 26.02.2018 03:00","11625","11189"
"26.02.2018 03:00 - 26.02.2018 04:00","11738","11324"
"26.02.2018 04:00 - 26.02.2018 05:00","12130","11743"
"26.02.2018 05:00 - 26.02.2018 06:00","12958","12603"
"26.02.2018 06:00 - 26.02.2018 07:00","13265","12644"
"26.02.2018 07:00 - 26.02.2018 08:00","13391","12793"
"26.02.2018 08:00 - 26.02.2018 09:00","13423","12904"
"26.02.2018 09:00 - 26.02.2018 10:00","13254","12895"
"26.02.2018 10:00 - 26.02.2018 11:00","13163","12960"
"26.02.2018 11:00 - 26.02.2018 12:00","13109","12820"
"26.02.2018 12:00 - 26.02.2018 13:00","12894","12366"
"26.02.2018 13:00 - 26.02.2018 14:00","12920","12489"
"26.02.2018 14:00 - 26.02.2018 15:00","12894","12671"
"26.02.2018 15:00 - 26.02.2018 16:00","12858","12639"
"26.02.2018 16:00 - 26.02.2018 17:00","13012","12781"
"26.02.2018 17:00 - 26.02.2018 18:00","13284","13152"
"26.02.2018 18:00 - 26.02.2018 19:00","13401","13289"
"26.02.2018 19:00 - 26.02.2018 20:00","13309","13120"
"26.02.2018 20:00 - 26.02.2018 21:00","12892","12557"
"26.02.2018 21:00 - 26.02.2018 22:00","12949","12645"
"26.02.2018 22:00 - 26.02.2018 23:00","12746","12457"
"26.02.2018 23:00 - 27.02.2018 00:00","12232","12080"
"27.02.2018 00:00 - 27.02.2018 01:00","11964","11880"
"27.02.2018 01:00 - 27.02.2018 02:00","11785","11804"
"27.02.2018 02:00 - 27.02.2018 03:00","11741","11858"
"27.02.2018 03:00 - 27.02.2018 04:00","11885","12018"
"27.02.2018 04:00 - 27.02.2018 05:00","12301","12447"
"27.02.2018 05:00 - 27.02.2018 06:00","13165","13415"
"27.02.2018 06:00 - 27.02.2018 07:00","13440","13476"
"27.02.2018 07:00 - 27.02.2018 08:00","13569","13608"
"27.02.2018 08:00 - 27.02.2018 09:00","13638","13808"
"27.02.2018 09:00 - 27.02.2018 10:00","13573","13752"
"27.02.2018 10:00 - 27.02.2018 11:00","13520","13622"
"27.02.2018 11:00 - 27.02.2018 12:00","13534","13424"
"27.02.2018 12:00 - 27.02.2018 13:00","13360","13283"
"27.02.2018 13:00 - 27.02.2018 14:00","13268","13233"
"27.02.2018 14:00 - 27.02.2018 15:00","13252","13235"
"27.02.2018 15:00 - 27.02.2018 16:00","13231","13171"
"27.02.2018 16:00 - 27.02.2018 17:00","13450","13298"
"27.02.2018 17:00 - 27.02.2018 18:00","13808","13833"
"27.02.2018 18:00 - 27.02.2018 19:00","13988","13990"
"27.02.2018 19:00 - 27.02.2018 20:00","13879","13887"
"27.02.2018 20:00 - 27.02.2018 21:00","13418","13379"
"27.02.2018 21:00 - 27.02.2018 22:00","13487","13497"
"27.02.2018 22:00 - 27.02.2018 23:00","13267","13365"
"27.02.2018 23:00 - 28.02.2018 00:00","13133","13018"
"28.02.2018 00:00 - 28.02.2018 01:00","12852","12780"
"28.02.2018 01:00 - 28.02.2018 02:00","12679","12676"
"28.02.2018 02:00 - 28.02.2018 03:00","12652","12705"
"28.02.2018 03:00 - 28.02.2018 04:00","12781","12896"
"28.02.2018 04:00 - 28.02.2018 05:00","13211","13237"
"28.02.2018 05:00 - 28.02.2018 06:00","14085","13883"
"28.02.2018 06:00 - 28.02.2018 07:00","14355","13920"
"28.02.2018 07:00 - 28.02.2018 08:00","14491","14000"
"28.02.2018 08:00 - 28.02.2018 09:00","14513","14062"
"28.02.2018 09:00 - 28.02.2018 10:00","14325","13804"
"28.02.2018 10:00 - 28.02.2018 11:00","14153","13663"
"28.02.2018 11:00 - 28.02.2018 12:00","14084","13561"
"28.02.2018 12:00 - 28.02.2018 13:00","13887","13398"
"28.02.2018 13:00 - 28.02.2018 14:00","13755","13292"
"28.02.2018 14:00 - 28.02.2018 15:00","13727","13216"
"28.02.2018 15:00 - 28.02.2018 16:00","13671","13103"
"28.02.2018 16:00 - 28.02.2018 17:00","13872","13223"
"28.02.2018 17:00 - 28.02.2018 18:00","14222","13740"
"28.02.2018 18:00 - 28.02.2018 19:00","14398","13966"
"28.02.2018 19:00 - 28.02.2018 20:00","14237","13778"
"28.02.2018 20:00 - 28.02.2018 21:00","13744","13315"
"28.02.2018 21:00 - 28.02.2018 22:00","13761","13379"
"28.02.2018 22:00 - 28.02.2018 23:00","13503","13224"
"28.02.2018 23:00 - 01.03.2018 00:00","12984","12799"
"01.03.2018 00:00 - 01.03.2018 01:00","12720","12519"
"01.03.2018 01:00 - 01.03.2018 02:00","12554","12448"
"01.03.2018 02:00 - 01.03.2018 03:00","12512","12434"
"01.03.2018 03:00 - 01.03.2018 04:00","12631","12606"
"01.03.2018 04:00 - 01.03.2018 05:00","13016","13045"
"01.03.2018 05:00 - 01.03.2018 06:00","13794","13782"
"01.03.2018 06:00 - 01.03.2018 07:00","14019","13810"
"01.03.2018 07:00 - 01.03.2018 08:00","14126","13798"
"01.03.2018 08:00 - 01.03.2018 09:00","14123","13699"
"01.03.2018 09:00 - 01.03.2018 10:00","13945","13521"
"01.03.2018 10:00 - 01.03.2018 11:00","13772","13292"
"01.03.2018 11:00 - 01.03.2018 12:00","13654","13174"
"01.03.2018 12:00 - 01.03.2018 13:00","13436","12951"
"01.03.2018 13:00 - 01.03.2018 14:00","13306","12844"
"01.03.2018 14:00 - 01.03.2018 15:00","13253","12717"
"01.03.2018 15:00 - 01.03.2018 16:00","13223","12623"
"01.03.2018 16:00 - 01.03.2018 17:00","13379","12711"
"01.03.2018 17:00 - 01.03.2018 18:00","13738","13151"
"01.03.2018 18:00 - 01.03.2018 19:00","13978","13405"
"01.03.2018 19:00 - 01.03.2018 20:00","13867","13305"
"01.03.2018 20:00 - 01.03.2018 21:00","13402","12903"
"01.03.2018 21:00 - 01.03.2018 22:00","13432","13116"
"01.03.2018 22:00 - 01.03.2018 23:00","13173","12982"
"01.03.2018 23:00 - 02.03.2018 00:00","12745","12624"
"02.03.2018 00:00 - 02.03.2018 01:00","12534","12367"
"02.03.2018 01:00 - 02.03.2018 02:00","12390","12243"
"02.03.2018 02:00 - 02.03.2018 03:00","12357","12220"
"02.03.2018 03:00 - 02.03.2018 04:00","12464","12370"
"02.03.2018 04:00 - 02.03.2018 05:00","12795","12762"
"02.03.2018 05:00 - 02.03.2018 06:00","13472","13503"
"02.03.2018 06:00 - 02.03.2018 07:00","13727","13526"
"02.03.2018 07:00 - 02.03.2018 08:00","13897","13661"
"02.03.2018 08:00 - 02.03.2018 09:00","13933","13592"
"02.03.2018 09:00 - 02.03.2018 10:00","13710","13323"
"02.03.2018 10:00 - 02.03.2018 11:00","13547","13030"
"02.03.2018 11:00 - 02.03.2018 12:00","13449","12766"
"02.03.2018 12:00 - 02.03.2018 13:00","13274","12709"
"02.03.2018 13:00 - 02.03.2018 14:00","13147","12602"
"02.03.2018 14:00 - 02.03.2018 15:00","13092","12574"
"02.03.2018 15:00 - 02.03.2018 16:00","13106","12557"
"02.03.2018 16:00 - 02.03.2018 17:00","13310","12669"
"02.03.2018 17:00 - 02.03.2018 18:00","13606","13085"
"02.03.2018 18:00 - 02.03.2018 19:00","13715","13218"
"02.03.2018 19:00 - 02.03.2018 20:00","13499","13026"
"02.03.2018 20:00 - 02.03.2018 21:00","13089","12659"
"02.03.2018 21:00 - 02.03.2018 22:00","13170","12760"
"02.03.2018 22:00 - 02.03.2018 23:00","12990","12601"
"02.03.2018 23:00 - 03.03.2018 00:00","12480","12196"
"03.03.2018 00:00 - 03.03.2018 01:00","12214","11935"
"03.03.2018 01:00 - 03.03.2018 02:00","12072","11781"
"03.03.2018 02:00 - 03.03.2018 03:00","12002","11641"
"03.03.2018 03:00 - 03.03.2018 04:00","12017","11704"
"03.03.2018 04:00 - 03.03.2018 05:00","12115","11876"
"03.03.2018 05:00 - 03.03.2018 06:00","12333","12224"
"03.03.2018 06:00 - 03.03.2018 07:00","12277","12049"
"03.03.2018 07:00 - 03.03.2018 08:00","12437","12362"
"03.03.2018 08:00 - 03.03.2018 09:00","12545","12573"
"03.03.2018 09:00 - 03.03.2018 10:00","12568","12508"
"03.03.2018 10:00 - 03.03.2018 11:00","12484","12307"
"03.03.2018 11:00 - 03.03.2018 12:00","12383","12026"
"03.03.2018 12:00 - 03.03.2018 13:00","12273","11865"
"03.03.2018 13:00 - 03.03.2018 14:00","12185","11803"
"03.03.2018 14:00 - 03.03.2018 15:00","12184","11823"
"03.03.2018 15:00 - 03.03.2018 16:00","12303","11917"
"03.03.2018 16:00 - 03.03.2018 17:00","12577","12189"
"03.03.2018 17:00 - 03.03.2018 18:00","13117","12848"
"03.03.2018 18:00 - 03.03.2018 19:00","13192","12934"
